place_id,name,business_status,business_address,lat,lng,types,rating,user_ratings_total,keyword,grid_lat,grid_lng
ChIJe55SFZSfRo4R78SU7siaFXY,Centro holistico Despertar para sanar,CLOSED_TEMPORARILY,"054030, Alto de las garzonas, El Carmen de Viboral, La Victoria, El Carmen de Viboral, Antioquia, Colombia",6.1242686,-75.3517537,"yoga_studio,fitness_center,gym,sports_complex,sports_activity_location,point_of_interest,health,establishment",5,1,gym,,
ChIJo_Td5t4pRI4RaPJ7-IkorBA,Energy Fitness Center,CLOSED_TEMPORARILY,"Cra. 84 #79-115, El Diamante, Medellín, Robledo, Medellín, Antioquia, Colombia",6.2837542,-75.58495769999999,"gym,health,sports_activity_location,point_of_interest,establishment",4.8,13,gym,,
ChIJ-5ipqkMpRI4R0OF_5pOIPv0,Las Originals - Salchipapas & Fast Food,CLOSED_TEMPORARILY,"La Pola, Robledo, Medellin, Antioquia, Colombia",6.2783676999999996,-75.5983897,"meal_delivery,fast_food_restaurant,food_delivery,restaurant,point_of_interest,food,establishment",5,4,"meal_delivery,restaurant",,
ChIJ-8obRvmDRo4RgwvlGjeTkqg,Gourmet,CLOSED_TEMPORARILY,"Cl. 3b Sur #29c-86, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",6.1967281,-75.5633386,"meal_delivery,food_delivery,point_of_interest,food,establishment",4.8,69,meal_delivery,,
ChIJ01TzWpspRI4R5GgHvTMtCgY,Sazon Burguer,CLOSED_TEMPORARILY,"Cl 10 #20_100, La Ceja, Medellín, Belén, Medellín, Antioquia, Colombia",6.2179343,-75.5942898,"meal_delivery,food_delivery,point_of_interest,food,establishment",,,meal_delivery,,
ChIJ564iKJopRI4R6gB5llssunI,Desde casa y Como en Casa,CLOSED_TEMPORARILY,"Cl. 92CC #67-39, Francisco Zea, Medellín, Castilla, Medellín, Antioquia, Colombia",6.2853107,-75.5737413,"meal_delivery,food_delivery,food,point_of_interest,establishment",4.9,25,meal_delivery,,
ChIJ5V0z4dkpRI4RgRm5zlHMttA,Wunuyė Dark kitchen,CLOSED_TEMPORARILY,"Cl. 73 #69-16, Bosques De San Pablo, Pilarica, Medellín, Robledo, Medellín, Antioquia, Colombia",6.273433499999999,-75.5801403,"meal_delivery,food_delivery,point_of_interest,food,establishment",,,meal_delivery,,
ChIJ6SEiyXIpRI4Raq8JP5O6bTc,Pizzeria Boca a Boca,CLOSED_TEMPORARILY,"Av. 80 #47-63, Los Pinos, Medellín, La América, Medellín, Antioquia, Colombia",6.2579251,-75.598106,"pizza_restaurant,meal_delivery,food_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",5,416,"meal_delivery,meal_takeaway,restaurant",,
ChIJ7TelcCMvRI4RTyufdN87xnM,Yz Dogger,CLOSED_TEMPORARILY,"Cl. 20f # 76-120, Paris, Bello, Antioquia, Colombia",6.3133585,-75.5826026,"meal_delivery,food_delivery,restaurant,point_of_interest,food,establishment",4,4,"meal_delivery,restaurant",,
ChIJ7xoOeQApRI4RLs9npYs4tJ0,Deli papas los Alpes,CLOSED_TEMPORARILY,"Parque de los Alpes, al frente de la iglesia católica, Parque, Medellín, Belén, Medellín, Antioquia, Colombia",6.2309152,-75.60764979999999,"meal_delivery,fast_food_restaurant,food_delivery,restaurant,point_of_interest,food,establishment",5,23,"meal_delivery,restaurant",,
ChIJ9fqV2ISHRo4R-pT4A68gdpk,Las Gardelitas,CLOSED_TEMPORARILY,"Cl. 134 Sur #46-54, Caldas, Antioquia, Colombia",6.088275599999999,-75.6336615,"meal_delivery,food_delivery,point_of_interest,food,establishment",5,6,meal_delivery,,
ChIJA2dqL4cpRI4RGQqMiBLucKw,Chifast Medellín,CLOSED_TEMPORARILY,"Cra. 82 #34b-16, Simón Bolívar, Medellín, Laureles, Medellín, Antioquia, Colombia",6.242384299999999,-75.60428189999999,"meal_delivery,food_delivery,event_venue,restaurant,point_of_interest,food,establishment",5,7,"meal_delivery,restaurant",,
ChIJB7F58YooRI4RPs40m0bW1q4,HELIOS ICE & GRILL,CLOSED_TEMPORARILY,"Cl. 57, Medellín, Villa Hermosa, Medellín, Antioquia, Colombia",6.246255199999999,-75.5520872,"ice_cream_shop,dog_cafe,meal_delivery,food_delivery,dessert_shop,confectionery,food_store,restaurant,point_of_interest,health,store,food,establishment",4.1,41,"meal_delivery,restaurant",,
